key,dataset,stem,n_alignments,n_rows_dropped
denovo_pdb__9dd2_A,denovo_pdb,9dd2_A,41,1
denovo_pdb__9de4_A,denovo_pdb,9de4_A,5,0
denovo_pdb__9dea_A,denovo_pdb,9dea_A,20,0
denovo_pdb__9ded_A,denovo_pdb,9ded_A,1453,5
denovo_pdb__9dw2_A,denovo_pdb,9dw2_A,260,0
denovo_pdb__9fw5_A,denovo_pdb,9fw5_A,494,0
denovo_pdb__9fw7_A,denovo_pdb,9fw7_A,264,0
denovo_pdb__9fwa_A,denovo_pdb,9fwa_A,547,0
denovo_pdb__9gvf_A,denovo_pdb,9gvf_A,11,0
denovo_pdb__9h10_A,denovo_pdb,9h10_A,6,0
denovo_pdb__9h3c_A,denovo_pdb,9h3c_A,6,0
denovo_pdb__9h4c_A,denovo_pdb,9h4c_A,8,0
denovo_pdb__9hag_A,denovo_pdb,9hag_A,627,5
denovo_pdb__9hnh_A,denovo_pdb,9hnh_A,91,0
denovo_pdb__9jl8_A,denovo_pdb,9jl8_A,11574,865
denovo_pdb__9jl9_A,denovo_pdb,9jl9_A,8722,824
denovo_pdb__9jla_A,denovo_pdb,9jla_A,10621,843
denovo_pdb__9jwo_A,denovo_pdb,9jwo_A,9537,4524
denovo_pdb__9jwq_A,denovo_pdb,9jwq_A,9999,4873
denovo_pdb__9jwt_A,denovo_pdb,9jwt_A,9992,4863
denovo_pdb__9kgz_A,denovo_pdb,9kgz_A,39,0
denovo_pdb__9lm8_A,denovo_pdb,9lm8_A,231,0
denovo_pdb__9lni_A,denovo_pdb,9lni_A,28,0
denovo_pdb__9lns_A,denovo_pdb,9lns_A,53,2
denovo_pdb__9mrb_A,denovo_pdb,9mrb_A,1338,1
denovo_pdb__9mxx_A,denovo_pdb,9mxx_A,2111,3
denovo_pdb__9n0j_A,denovo_pdb,9n0j_A,249,0
denovo_pdb__9qdp_A,denovo_pdb,9qdp_A,162,0
denovo_pdb__9qrf_A,denovo_pdb,9qrf_A,11644,3525
denovo_pdb__9quc_A,denovo_pdb,9quc_A,2760,0
denovo_pdb__9qud_A,denovo_pdb,9qud_A,2720,0
denovo_pdb__9qui_A,denovo_pdb,9qui_A,2720,0
denovo_pdb__9qul_A,denovo_pdb,9qul_A,2379,0
denovo_pdb__9quo_A,denovo_pdb,9quo_A,2407,0
denovo_pdb__9r00_A,denovo_pdb,9r00_A,436,4
denovo_pdb__9r0z_A,denovo_pdb,9r0z_A,723,9
denovo_pdb__9r17_A,denovo_pdb,9r17_A,432,0
denovo_pdb__9r1j_A,denovo_pdb,9r1j_A,15,0
denovo_pdb__9r1k_A,denovo_pdb,9r1k_A,12,0
denovo_pdb__9r1l_A,denovo_pdb,9r1l_A,12,0
denovo_pdb__9r1m_A,denovo_pdb,9r1m_A,9,0
denovo_pdb__9r1n_A,denovo_pdb,9r1n_A,3,0
denovo_pdb__9r2k_A,denovo_pdb,9r2k_A,45,0
denovo_pdb__9r7f_A,denovo_pdb,9r7f_A,236,0
denovo_pdb__9raa_A,denovo_pdb,9raa_A,6,0
denovo_pdb__9raq_A,denovo_pdb,9raq_A,5,0
denovo_pdb__9rar_A,denovo_pdb,9rar_A,11,0
denovo_pdb__9rb0_A,denovo_pdb,9rb0_A,5,0
denovo_pdb__9rbe_A,denovo_pdb,9rbe_A,11,0
denovo_pdb__9szu_A,denovo_pdb,9szu_A,1092,0
denovo_pdb__9tas_A,denovo_pdb,9tas_A,117,0
denovo_pdb__9tau_A,denovo_pdb,9tau_A,155,0
denovo_pdb__9ugr_A,denovo_pdb,9ugr_A,63,2
denovo_pdb__9v3a_A,denovo_pdb,9v3a_A,62,1
denovo_pdb__9v4l_A,denovo_pdb,9v4l_A,49,2
denovo_pdb__9vp8_A,denovo_pdb,9vp8_A,1460,161
denovo_pdb__9vvn_A,denovo_pdb,9vvn_A,451,0
denovo_pdb__9x1w_A,denovo_pdb,9x1w_A,66,1
denovo_pdb__9x1x_A,denovo_pdb,9x1x_A,73,1
denovo_pdb__9xzo_A,denovo_pdb,9xzo_A,233808,150640
denovo_pdb__3og3_A,denovo_pdb,3og3_A,4746,2453
denovo_pdb__4ess_A,denovo_pdb,4ess_A,2175,1074
denovo_pdb__4gvw_A,denovo_pdb,4gvw_A,1945,562
denovo_pdb__4z08_A,denovo_pdb,4z08_A,4424,2532
denovo_pdb__5d2t_A,denovo_pdb,5d2t_A,4428,2529
denovo_pdb__5d2v_A,denovo_pdb,5d2v_A,4397,2531
denovo_pdb__5d2w_A,denovo_pdb,5d2w_A,4402,2531
denovo_pdb__5d2x_A,denovo_pdb,5d2x_A,4206,2424
denovo_pdb__5d2y_A,denovo_pdb,5d2y_A,4186,2411
denovo_pdb__5d30_A,denovo_pdb,5d30_A,4165,2410
denovo_pdb__5od1_A,denovo_pdb,5od1_A,359,5
denovo_pdb__2af5_A,denovo_pdb,2af5_A,49,4
denovo_pdb__3qa9_A,denovo_pdb,3qa9_A,4740,1654
denovo_pdb__4ndj_A,denovo_pdb,4ndj_A,677,9
denovo_pdb__3v1a_A,denovo_pdb,3v1a_A,190,9
denovo_pdb__4pjr_A,denovo_pdb,4pjr_A,27109,11319
denovo_pdb__4pjs_A,denovo_pdb,4pjs_A,19991,9160
casp_fm__T1027-D1,casp_fm,T1027-D1,307,0
casp_fm__T1029-D1,casp_fm,T1029-D1,654,10
casp_fm__T1031-D1,casp_fm,T1031-D1,1893,44
casp_fm__T1033-D1,casp_fm,T1033-D1,532,0
casp_fm__T1035-D1,casp_fm,T1035-D1,1601,15
casp_fm__T1037-D1,casp_fm,T1037-D1,550,0
casp_fm__T1038-D1,casp_fm,T1038-D1,651,3
casp_fm__T1038-D2,casp_fm,T1038-D2,867,9
casp_fm__T1039-D1,casp_fm,T1039-D1,271,0
casp_fm__T1040-D1,casp_fm,T1040-D1,403,1
casp_fm__T1041-D1,casp_fm,T1041-D1,456,0
casp_fm__T1042-D1,casp_fm,T1042-D1,1042,0
casp_fm__T1043-D1,casp_fm,T1043-D1,643,0
casp_fm__T1049-D1,casp_fm,T1049-D1,616,41
casp_fm__T1104-D1,casp_fm,T1104-D1,77,1
casp_fm__T1112-D1,casp_fm,T1112-D1,446,114
casp_fm__T1113-D1,casp_fm,T1113-D1,988,0
casp_fm__T1120-D1,casp_fm,T1120-D1,705,9
casp_fm__T1120-D2,casp_fm,T1120-D2,182,26
casp_fm__T1121-D1,casp_fm,T1121-D1,769,28
casp_fm__T1122-D1,casp_fm,T1122-D1,498,0
casp_fm__T1123-D1,casp_fm,T1123-D1,300,0
casp_fm__T1125-D1,casp_fm,T1125-D1,109,0
casp_fm__T1125-D2,casp_fm,T1125-D2,416,0
casp_fm__T1125-D4,casp_fm,T1125-D4,273,1
casp_fm__T1125-D5,casp_fm,T1125-D5,239,0
cameo_hard__8j4i_A,cameo_hard,8j4i_A,1910,834
cameo_hard__8raj_A,cameo_hard,8raj_A,79,0
cameo_hard__8jvx_B,cameo_hard,8jvx_B,50,1
cameo_hard__8vej_B,cameo_hard,8vej_B,30,0
cameo_hard__8u1a_A,cameo_hard,8u1a_A,2,1
cameo_hard__8vd6_A,cameo_hard,8vd6_A,445,0
cameo_hard__8wwc_C,cameo_hard,8wwc_C,33,0
cameo_hard__9eqn_A,cameo_hard,9eqn_A,171,0
cameo_hard__9isp_A,cameo_hard,9isp_A,2881,12
cameo_hard__8s89_A,cameo_hard,8s89_A,29,0
cameo_hard__8yl4_B,cameo_hard,8yl4_B,360,0
cameo_hard__9fdg_A,cameo_hard,9fdg_A,2375,0
cameo_hard__9dl1_D,cameo_hard,9dl1_D,460,0
cameo_hard__9k3e_C,cameo_hard,9k3e_C,717,5
cameo_hard__8zaf_A,cameo_hard,8zaf_A,689,9
cameo_hard__9hac_B,cameo_hard,9hac_B,63,0
cameo_hard__9had_C,cameo_hard,9had_C,7,0
cameo_hard__9j46_F,cameo_hard,9j46_F,864,1
cameo_hard__8v4w_A,cameo_hard,8v4w_A,901,0
cameo_hard__9bch_A,cameo_hard,9bch_A,613,0
cameo_hard__8xtn_A,cameo_hard,8xtn_A,15,4
cameo_hard__9b7d_D,cameo_hard,9b7d_D,838,10
cameo_hard__9def_A,cameo_hard,9def_A,1242,1
cameo_hard__9deg_A,cameo_hard,9deg_A,1360,0
cameo_hard__9j5h_A,cameo_hard,9j5h_A,236,3
cameo_hard__8s3m_A,cameo_hard,8s3m_A,3138,124
cameo_hard__8yoz_A,cameo_hard,8yoz_A,3067,496
cameo_hard__9f4c_A,cameo_hard,9f4c_A,138,9
cameo_hard__9de9_B,cameo_hard,9de9_B,230,2
cameo_hard__9deb_E,cameo_hard,9deb_E,22,0
cameo_hard__9emy_B,cameo_hard,9emy_B,6276,25
cameo_hard__9eum_A,cameo_hard,9eum_A,1853,435
