eval_set,stem,method_id,method_label,gdt_ts
eval-val,8daj_A,protenix_v2_msa,Protenix-v2 + MSA,0.96606
eval-val,8daj_A,protenix_v2_single_seq,Protenix-v2 single sequence,0.19702
eval-val,8dez_A,esmfold,ESMFold,0.67052
eval-val,8dez_A,esmfold2,ESMFold2,0.751445
eval-val,8dez_A,protenix_v2_msa,Protenix-v2 + MSA,0.859827
eval-val,8dez_A,protenix_v2_single_seq,Protenix-v2 single sequence,0.147399
eval-val,8dge_A,esmfold,ESMFold,0.847949
eval-val,8dge_A,esmfold2,ESMFold2,0.864569
eval-val,8dge_A,protenix_v2_msa,Protenix-v2 + MSA,0.941655
eval-val,8dge_A,protenix_v2_single_seq,Protenix-v2 single sequence,0.006011
eval-val,8dhj_A,esmfold,ESMFold,0.871822
eval-val,8dhj_A,esmfold2,ESMFold2,0.971398
eval-val,8dhj_A,protenix_v2_msa,Protenix-v2 + MSA,0.745763
eval-val,8dhj_A,protenix_v2_single_seq,Protenix-v2 single sequence,0.023305
eval-val,8dmu_A,esmfold,ESMFold,0.851891
eval-val,8dmu_A,esmfold2,ESMFold2,0.966387
eval-val,8dmu_A,protenix_v2_msa,Protenix-v2 + MSA,0.98792
eval-val,8dmu_A,protenix_v2_single_seq,Protenix-v2 single sequence,0.028361
eval-val,8dp9_A,esmfold,ESMFold,0.860902
eval-val,8dp9_A,esmfold2,ESMFold2,0.864662
eval-val,8dp9_A,protenix_v2_msa,Protenix-v2 + MSA,0.81203
eval-val,8dp9_A,protenix_v2_single_seq,Protenix-v2 single sequence,0.103383
eval-val,8dqd_A,esmfold,ESMFold,0.757432
eval-val,8dqd_A,esmfold2,ESMFold2,0.783108
eval-val,8dqd_A,protenix_v2_msa,Protenix-v2 + MSA,0.80473
eval-val,8dqd_A,protenix_v2_single_seq,Protenix-v2 single sequence,0.087162
eval-val,8dx0_A,esmfold,ESMFold,0.935252
eval-val,8dx0_A,esmfold2,ESMFold2,0.922662
eval-val,8dx0_A,protenix_v2_msa,Protenix-v2 + MSA,0.911871
eval-val,8dx0_A,protenix_v2_single_seq,Protenix-v2 single sequence,0.22482
eval-val,8e0r_A,esmfold,ESMFold,0.633373
eval-val,8e0r_A,esmfold2,ESMFold2,0.902512
eval-val,8e0r_A,protenix_v2_msa,Protenix-v2 + MSA,0.922249
eval-val,8e0r_A,protenix_v2_single_seq,Protenix-v2 single sequence,0.009569
eval-val,8e5h_A,esmfold,ESMFold,0.678668
eval-val,8e5h_A,esmfold2,ESMFold2,0.986413
eval-val,8e5h_A,protenix_v2_msa,Protenix-v2 + MSA,0.990489
eval-val,8e5h_A,protenix_v2_single_seq,Protenix-v2 single sequence,0.353261
eval-val,8eb9_A,esmfold,ESMFold,0.044944
eval-val,8eb9_A,esmfold2,ESMFold2,0.087079
eval-val,8eb9_A,protenix_v2_msa,Protenix-v2 + MSA,0.331461
eval-val,8eb9_A,protenix_v2_single_seq,Protenix-v2 single sequence,0.058989
eval-val,8ec3_A,esmfold,ESMFold,0.604839
eval-val,8ec3_A,esmfold2,ESMFold2,0.558065
eval-val,8ec3_A,protenix_v2_msa,Protenix-v2 + MSA,0.633871
eval-val,8ec3_A,protenix_v2_single_seq,Protenix-v2 single sequence,0.301613
eval-val,8eo5_A,esmfold,ESMFold,0.928704
eval-val,8eo5_A,esmfold2,ESMFold2,0.967593
eval-val,8eo5_A,protenix_v2_msa,Protenix-v2 + MSA,0.97037
eval-val,8eo5_A,protenix_v2_single_seq,Protenix-v2 single sequence,0.012963
eval-val,8gmy_A,esmfold,ESMFold,0.414384
eval-val,8gmy_A,esmfold2,ESMFold2,0.783105
eval-val,8gmy_A,protenix_v2_msa,Protenix-v2 + MSA,0.819635
eval-val,8gmy_A,protenix_v2_single_seq,Protenix-v2 single sequence,0.022831
eval-val,8q8i_A,esmfold,ESMFold,0.551971
eval-val,8q8i_A,esmfold2,ESMFold2,0.819892
eval-val,8q8i_A,protenix_v2_msa,Protenix-v2 + MSA,0.981183
eval-val,8q8i_A,protenix_v2_single_seq,Protenix-v2 single sequence,0.026882
eval-val,8ycm_A,esmfold,ESMFold,0.842342
eval-val,8ycm_A,esmfold2,ESMFold2,0.942568
eval-val,8ycm_A,protenix_v2_msa,Protenix-v2 + MSA,0.947072
eval-val,8ycm_A,protenix_v2_single_seq,Protenix-v2 single sequence,0.054054
