entry_id,L,n_gt,n_rollouts,n_correct,tensor_parallel,total_gen_tokens,gen_seconds,score_seconds,tokens_per_s,mean_gen_tokens,best_struct_nll,tpu_type,n_rollouts_n,n_correct_n,n_contacts,struct_nll_min,struct_nll_mean,struct_nll_max,struct_nll_per_tok_min,selected_r
AF-A0A1Q4XFD8-F1,374,290,10,10,4,8710,6.982,0.446,1247.5,871.0,2262.617,v5p-8,10,10,290,2262.6165869581005,2300.179050405694,2325.4258171165184,2.5977228323284733,5
AF-A0A1Q5Q548-F1,209,173,10,10,4,5200,3.963,0.188,1312.3,520.0,1116.473,v5p-8,10,10,173,1116.4732751667964,1147.1875056828494,1193.2554996188537,2.1470639907053775,3
AF-A0A1Q5T2E8-F1,213,223,10,10,4,6700,5.148,0.21,1301.5,670.0,1614.143,v5p-8,10,10,223,1614.1426671016543,1634.724992454948,1661.8048071901671,2.4091681598532153,3
AF-A0A1Q6ALM2-F1,80,51,10,10,4,1540,1.093,0.079,1409.4,154.0,267.129,v5p-8,10,10,51,267.1288930563653,269.8801445399008,279.1768181947881,1.73460320166471,9
AF-A0A1Q6FWX2-F1,300,222,10,10,4,6670,5.14,0.235,1297.7,667.0,1634.401,v5p-8,10,10,222,1634.401371438301,1655.463221435438,1676.3967698964202,2.4503768687230902,4
AF-A0A1Q6K0P3-F1,172,179,10,10,4,5380,4.022,0.352,1337.5,538.0,1120.724,v5p-8,10,10,179,1120.723723484629,1143.2183148562895,1161.4928111024765,2.0831295975550725,3
AF-A0A1Q6SXS8-F1,271,228,10,10,4,6850,5.266,0.227,1300.9,685.0,1625.817,v5p-8,10,10,228,1625.8168321950102,1642.6598187508378,1670.9986826496227,2.373455229481767,0
AF-A0A1Q7Y8B2-F1,212,176,10,10,4,5290,4.009,0.191,1319.6,529.0,1164.553,v5p-8,10,10,176,1164.5529111861847,1196.0959272608327,1215.1886403171936,2.201423272563676,2
AF-A0A1Q8IC85-F1,344,359,10,10,4,10780,8.948,0.305,1204.7,1078.0,2850.094,v5p-8,10,10,359,2850.093561981992,2884.977293452054,2936.143679430161,2.643871578833017,5
AF-A0A1Q8YCD7-F1,111,22,10,10,4,670,0.488,0.235,1372.6,67.0,97.303,v5p-8,10,10,22,97.30278497011636,104.56437353768679,112.76747541005307,1.452280372688304,3
AF-A0A1Q9P3R4-F1,166,171,10,10,4,5140,3.849,0.175,1335.4,514.0,963.718,v5p-8,10,10,171,963.7176725891915,974.1134836296911,985.8970807249666,1.8749371062046527,1
AF-A0A1Q9PKP0-F1,91,85,10,10,4,2560,1.833,0.114,1396.8,256.0,456.13,v5p-8,10,10,85,456.13007243933816,466.22383151305996,473.9008372890604,1.7817580954661647,8
AF-A0A1Q9QMT8-F1,45,9,10,10,4,280,0.54,0.036,518.0,28.0,27.957,v5p-8,10,10,9,27.956687008440895,31.781285866123348,37.170564070173896,0.9984531074443177,0
AF-A0A1Q9T703-F1,109,78,10,10,4,2350,1.683,0.116,1396.4,235.0,461.251,v5p-8,10,10,78,461.25068255239216,475.3029850449284,490.29475496571195,1.962768861925073,3
AF-A0A1S1E964-F1,65,37,10,10,4,1120,0.794,0.065,1410.1,112.0,179.817,v5p-8,10,10,37,179.8172853833238,186.4745553650227,194.68771396173156,1.6055114766368195,4
AF-A0A1S1ZZP4-F1,204,158,10,10,4,4750,3.531,0.181,1345.1,475.0,963.571,v5p-8,10,10,158,963.5707816681386,984.7945964054436,1006.3864943950168,2.0285700666697655,6
AF-A0A1S3HW37-F1,296,194,10,10,4,5830,4.455,0.219,1308.5,583.0,1446.91,v5p-8,10,10,194,1446.909855355942,1474.9056200401205,1497.2204854459121,2.4818350863738283,4
AF-A0A1S3QTM0-F1,156,124,10,10,4,3730,2.727,0.153,1367.8,373.0,798.566,v5p-8,10,10,124,798.5659191780418,821.623376821052,849.4664702587564,2.1409273972601657,1
AF-A0A1S6FNE5-F1,84,14,10,10,4,430,0.308,0.223,1396.3,43.0,44.698,v5p-8,10,10,14,44.69796364977083,48.24571738976145,52.541234420088585,1.0394875267388564,2
AF-A0A1S6INZ3-F1,69,40,10,10,4,1210,0.857,0.067,1411.6,121.0,190.543,v5p-8,10,10,40,190.5434897734292,203.11098602671774,216.4034538042083,1.5747395849043735,6
AF-A0A1S9A779-F1,148,146,10,10,4,4390,3.238,0.159,1355.9,439.0,904.13,v5p-8,10,10,146,904.129605208173,928.8033129815158,943.4613518984829,2.0595207407931047,0
AF-A0A1U7LTT1-F1,276,7,10,10,4,220,0.198,0.135,1108.7,22.0,49.029,v5p-8,10,10,7,49.028856014791245,54.799378487586566,58.467093235543416,2.228584364308693,7
AF-A0A1U7MS47-F1,95,52,10,10,4,1570,1.104,0.082,1421.6,157.0,298.968,v5p-8,10,10,52,298.9676965769039,308.74769568000283,315.8719103285762,1.9042528444388784,6
AF-A0A1U9L2I5-F1,140,92,10,10,4,2770,1.976,0.132,1402.0,277.0,583.78,v5p-8,10,10,92,583.78004950769,596.9991915837846,611.6804395957138,2.1075092039988808,4
AF-A0A1V2W6U4-F1,173,170,10,10,4,5110,3.75,0.177,1362.6,511.0,1101.8,v5p-8,10,10,170,1101.7995671103818,1133.1468864683052,1164.1721369639383,2.156163536419534,6
AF-A0A1V4TBY3-F1,426,444,10,10,4,13330,11.35,0.554,1174.5,1333.0,3556.957,v5p-8,10,10,444,3556.9565269781733,3601.4780472593907,3651.2513748482497,2.668384491356469,8
AF-A0A1V4Y3N1-F1,50,21,10,10,4,640,0.448,0.045,1427.9,64.0,102.421,v5p-8,10,10,21,102.4205541796673,107.35408971596515,112.64358885093566,1.6003211590573017,0
AF-A0A1V4Z0S1-F1,282,235,10,10,4,7060,5.436,0.233,1298.6,706.0,1583.272,v5p-8,10,10,235,1583.271972573952,1605.1679027573316,1637.2132383876421,2.242594862002765,8
AF-A0A1V5KM55-F1,405,573,10,10,4,17200,15.039,0.603,1143.7,1720.0,4438.73,v5p-8,10,10,573,4438.7297283854205,4493.408949752282,4571.449014026512,2.5806568188287327,5
AF-A0A1V5T8X6-F1,260,237,10,10,4,7120,5.544,0.229,1284.2,712.0,1659.353,v5p-8,10,10,237,1659.35251863985,1679.4968446312992,1708.230665138058,2.3305512902245082,4
AF-A0A1V6EQC7-F1,451,416,10,10,4,12490,10.665,0.363,1171.1,1249.0,3170.284,v5p-8,10,10,416,3170.283526943115,3209.2756415908725,3241.2781440583713,2.538257427496489,1
AF-A0A1V6KEH3-F1,167,122,10,10,4,3670,2.713,0.155,1353.0,367.0,810.775,v5p-8,10,10,122,810.7748506407063,835.4454592944925,857.0463244183802,2.209195778312551,1
AF-A0A1V8NZJ3-F1,60,30,10,10,4,910,0.645,0.061,1411.1,91.0,144.322,v5p-8,10,10,30,144.3224213292549,152.68770974706686,158.6177405579101,1.585960673947856,6
AF-A0A1W1D4H0-F1,307,273,10,10,4,8200,6.625,0.254,1237.7,820.0,1967.039,v5p-8,10,10,273,1967.0391912632974,2008.7229576603836,2080.1488792761106,2.3988282820284117,5
AF-A0A1W1YKV8-F1,85,56,10,10,4,1690,1.188,0.082,1422.6,169.0,320.03,v5p-8,10,10,56,320.0302489194561,327.06549965248894,334.93648643837605,1.8936701119494443,7
AF-A0A1W4UU29-F1,228,142,10,10,4,4270,3.209,0.18,1330.6,427.0,1013.669,v5p-8,10,10,142,1013.6691487995927,1023.1572646011379,1043.1726981345068,2.3739324327859315,9
AF-A0A1W6MZN8-F1,179,124,10,10,4,3730,2.751,0.159,1355.9,373.0,743.722,v5p-8,10,10,124,743.7217200626768,761.0038278069072,781.3391922155112,1.993892010891895,6
AF-A0A1W9UK93-F1,376,392,10,10,4,11770,9.7,0.512,1213.4,1177.0,2960.103,v5p-8,10,10,392,2960.1031136097754,2990.3231379618232,3032.9762156342676,2.5149559164059263,3
AF-A0A1X7UUU6-F1,128,58,10,10,4,1750,1.259,0.115,1390.0,175.0,373.371,v5p-8,10,10,58,373.37094552444,379.2605565295274,387.13558460789477,2.133548260139657,5
AF-A0A1X9STU5-F1,70,20,10,10,4,610,0.43,0.058,1418.6,61.0,73.706,v5p-8,10,10,20,73.70626959565561,81.62663857519408,87.5531625871663,1.2082995015681248,3
AF-A0A1Y0H0D4-F1,232,274,10,10,4,8230,6.34,0.236,1298.1,823.0,1989.938,v5p-8,10,10,274,1989.937694499436,2014.6762953835266,2043.5916270779978,2.4179072837174194,0
AF-A0A1Y0IR95-F1,111,77,10,10,4,2320,1.654,0.119,1402.6,232.0,479.838,v5p-8,10,10,77,479.8382609211676,492.99886456596414,501.8786802776341,2.0682683660395154,8
AF-A0A1Y0SYB5-F1,150,145,10,10,4,4360,3.185,0.161,1368.7,436.0,1000.704,v5p-8,10,10,145,1000.7039524191309,1017.089175922892,1043.069742666254,2.295192551420025,2
AF-A0A1Y1YK55-F1,247,278,10,10,4,8350,6.476,0.412,1289.5,835.0,1929.638,v5p-8,10,10,278,1929.637814562857,1960.2078789314266,1985.2620323025988,2.3109434904944397,1
AF-A0A1Y2WJL9-F1,241,268,10,10,4,8050,6.206,0.239,1297.2,805.0,1811.489,v5p-8,10,10,268,1811.489024403591,1851.8577121934286,1894.3665370552571,2.2502969247249576,9
AF-A0A1Y4SAF4-F1,177,178,10,10,4,5350,3.943,0.182,1356.8,535.0,1200.456,v5p-8,10,10,178,1200.455691326041,1237.8821104690103,1276.6746753392902,2.2438424136935344,5
AF-A0A1Y6CFQ5-F1,345,335,10,10,4,10060,8.02,0.295,1254.3,1006.0,2643.865,v5p-8,10,10,335,2643.865167636719,2678.809459543304,2729.577414359512,2.6280965881080705,7
AF-A0A1Z5HHU1-F1,194,109,10,10,4,3280,2.373,0.158,1382.2,328.0,696.496,v5p-8,10,10,109,696.4964042566712,708.9590344096332,724.865944200774,2.1234646471239977,8
AF-A0A1Z5SKH5-F1,139,97,10,10,4,2920,2.102,0.318,1388.8,292.0,581.205,v5p-8,10,10,97,581.204698616212,596.3946350111465,609.2459901653012,1.9904270500555206,3
AF-A0A209BHL0-F1,180,154,10,10,4,4630,3.43,0.172,1350.0,463.0,1043.225,v5p-8,10,10,154,1043.2248184064408,1066.0661436676073,1084.9288512116984,2.2531853529296777,1
AF-A0A218PSI4-F1,117,89,10,10,4,2680,1.933,0.126,1386.1,268.0,492.497,v5p-8,10,10,89,492.4968288751054,505.64205633932977,531.4640511353402,1.8376747346086022,5
AF-A0A221URL9-F1,223,165,10,10,4,4960,3.765,0.191,1317.2,496.0,1087.291,v5p-8,10,10,165,1087.290836800432,1115.5749439145552,1145.3953450486342,2.1921186225815164,7
AF-A0A238H440-F1,66,52,10,10,4,1570,1.132,0.074,1386.8,157.0,234.989,v5p-8,10,10,52,234.98917632384996,244.58670328085145,254.68986992712894,1.4967463460117831,0
AF-A0A239MLR9-F1,314,193,10,10,4,5800,4.46,0.225,1300.5,580.0,1287.663,v5p-8,10,10,193,1287.6631029403463,1307.0498989861958,1322.3235521197744,2.220108798173011,2
AF-A0A239N4J8-F1,216,202,10,10,4,6070,4.634,0.375,1309.8,607.0,1459.572,v5p-8,10,10,202,1459.572435561387,1471.4337536033613,1493.3155915959735,2.404567439145613,0
AF-A0A240U2Y7-F1,206,133,10,10,4,4000,2.987,0.17,1339.2,400.0,845.412,v5p-8,10,10,133,845.4115662256398,862.1367796646224,886.0483081878276,2.1135289155640997,0
AF-A0A249P6X1-F1,62,6,10,10,4,190,0.148,0.041,1284.6,19.0,28.217,v5p-8,10,10,6,28.216844260925427,33.578165248986394,38.17240741895512,1.4850970663644962,3
AF-A0A252D8K9-F1,122,47,10,10,4,1420,1.043,0.087,1361.0,142.0,275.288,v5p-8,10,10,47,275.28805762921206,285.11848068667155,295.3566250926783,1.9386482931634652,8
AF-A0A255I3K6-F1,81,40,10,10,4,1210,0.871,0.072,1389.7,121.0,204.546,v5p-8,10,10,40,204.54579290702713,215.00595674961224,226.99004074824552,1.6904610984051829,3
AF-A0A256XXG6-F1,236,173,10,10,4,5200,4.007,0.2,1297.7,520.0,1084.803,v5p-8,10,10,173,1084.8032380979555,1105.1984975856576,1145.3491506896744,2.086160073265299,9
AF-A0A257MFV7-F1,70,32,10,10,4,970,0.699,0.066,1387.8,97.0,160.805,v5p-8,10,10,32,160.80479068605837,172.26386840172563,177.28306238431287,1.6577813472789522,8
AF-A0A257WF75-F1,75,22,10,10,4,670,0.496,0.061,1351.8,67.0,64.691,v5p-8,10,10,22,64.69057240823054,71.414721077005,76.00400691585662,0.9655309314661275,3
AF-A0A258AIY7-F1,294,231,10,10,4,6940,5.482,0.235,1265.9,694.0,1431.961,v5p-8,10,10,231,1431.9607926666854,1454.9464150084073,1476.0864324741488,2.0633440816522843,6
AF-A0A258DT17-F1,118,53,10,10,4,1600,1.14,0.091,1403.1,160.0,279.422,v5p-8,10,10,53,279.4222567813101,289.1722482319515,299.3494958519333,1.7463891048831883,4
AF-A0A259SHN6-F1,329,149,10,10,4,4480,3.386,0.384,1323.3,448.0,1015.264,v5p-8,10,10,149,1015.2644990507913,1030.673834089328,1052.0661093013234,2.2662153996669447,5
AF-A0A264W265-F1,86,50,10,10,4,1510,1.103,0.08,1368.6,151.0,254.925,v5p-8,10,10,50,254.92480763366598,273.376030948005,286.79573145250527,1.6882437591633508,7
AF-A0A268E796-F1,84,47,10,10,4,1420,1.008,0.076,1409.3,142.0,225.326,v5p-8,10,10,47,225.32619897194377,232.9176845598011,245.15012135210873,1.5868042181122801,9
AF-A0A268IL12-F1,123,79,10,10,4,2380,1.703,0.121,1397.8,238.0,453.481,v5p-8,10,10,79,453.4814906672343,465.3300100425774,475.7222513552408,1.9053844145682113,0
AF-A0A269VU64-F1,101,90,10,10,4,2710,1.917,0.119,1413.4,271.0,491.805,v5p-8,10,10,90,491.80519066948784,505.11194444539933,515.4773080462832,1.8147793013634237,3
AF-A0A286DX16-F1,95,27,10,10,4,820,0.573,0.069,1429.9,82.0,109.014,v5p-8,10,10,27,109.01423880361335,113.82819541732354,127.42018032564613,1.3294419366294312,6
AF-A0A2A2QKG0-F1,225,100,10,10,4,3010,2.194,0.161,1371.8,301.0,506.411,v5p-8,10,10,100,506.4109264938711,527.0926406759905,545.7551440119576,1.6824283272221632,2
AF-A0A2A4S4X0-F1,146,48,10,10,4,1450,1.037,0.116,1398.5,145.0,281.862,v5p-8,10,10,48,281.86232844871915,289.41408976854353,300.5074583342272,1.9438781272325458,6
AF-A0A2A5A6F2-F1,246,195,10,10,4,5860,4.46,0.208,1313.8,586.0,1357.176,v5p-8,10,10,195,1357.1762432025969,1381.9271447560152,1407.4412637774594,2.3160004150214966,8
AF-A0A2C9VDY9-F1,125,59,10,10,4,1780,1.272,0.282,1399.0,178.0,288.701,v5p-8,10,10,59,288.70085653037563,295.39058488183883,302.85615572466077,1.621914924327953,2
AF-A0A2D5MUB0-F1,355,417,10,10,4,12520,10.344,0.333,1210.4,1252.0,3289.041,v5p-8,10,10,417,3289.041069152041,3308.318424883376,3349.344562977024,2.6270296079489146,9
AF-A0A2D5Y081-F1,91,88,10,10,4,2650,1.91,0.118,1387.5,265.0,505.326,v5p-8,10,10,88,505.3255459650104,512.8653177213059,521.4231730598966,1.9068888526981524,1
AF-A0A2D6CTG5-F1,451,480,10,10,4,14410,12.232,0.566,1178.0,1441.0,3692.107,v5p-8,10,10,480,3692.1070267191317,3747.8853816390074,3786.035089194975,2.5621839186114723,7
AF-A0A2D6MBY5-F1,121,126,10,10,4,3790,2.757,0.145,1374.8,379.0,851.158,v5p-8,10,10,126,851.1575962982008,870.7774522185642,891.8829818749616,2.2457984071192634,2
AF-A0A2D6R5E1-F1,139,128,10,10,4,3850,2.821,0.148,1364.6,385.0,789.566,v5p-8,10,10,128,789.5660074116212,809.8445379880404,836.1526904805904,2.0508207984717433,7
AF-A0A2D6XN17-F1,325,381,10,10,4,11440,9.312,0.312,1228.5,1144.0,2880.06,v5p-8,10,10,381,2880.0598618463346,2912.0230503470134,2947.700934247551,2.5175348442712715,9
AF-A0A2D7SQ77-F1,89,69,10,10,4,2080,1.475,0.09,1410.6,208.0,358.45,v5p-8,10,10,69,358.45015536093854,369.297867511595,382.98221746843694,1.7233180546198967,5
AF-A0A2D8FD95-F1,167,148,10,10,4,4450,3.274,0.165,1359.1,445.0,992.92,v5p-8,10,10,148,992.9198874156884,1009.8221034361588,1026.596824274848,2.2312806458779515,3
AF-A0A2E0N866-F1,165,96,10,10,4,2890,2.087,0.313,1385.1,289.0,558.626,v5p-8,10,10,96,558.6262750913891,579.2683842961334,593.068412915316,1.9329628895895816,7
AF-A0A2E0QA07-F1,202,151,10,10,4,4540,3.428,0.179,1324.4,454.0,945.914,v5p-8,10,10,151,945.9141445476687,966.3978988519024,985.9879767939769,2.0835113316027947,2
AF-A0A2E0QPB3-F1,329,161,10,10,4,4840,3.666,0.218,1320.4,484.0,1103.034,v5p-8,10,10,161,1103.0344588928576,1123.0761084426008,1161.046928120307,2.278996815894334,2
AF-A0A2E0YCT5-F1,95,46,10,10,4,1390,1.009,0.079,1377.9,139.0,234.39,v5p-8,10,10,46,234.3901815294663,243.26220980469625,250.10650022613765,1.6862602987731388,7
AF-A0A2E1AYZ6-F1,106,80,10,10,4,2410,1.772,0.117,1359.9,241.0,461.768,v5p-8,10,10,80,461.76810985852876,479.4667082355785,496.8814012260783,1.916050248375638,6
AF-A0A2E1ZD16-F1,298,221,10,10,4,6640,5.209,0.232,1274.7,664.0,1509.344,v5p-8,10,10,221,1509.3439317563702,1528.9978607482649,1557.740456686361,2.273108330958389,5
AF-A0A2E4D8U5-F1,115,113,10,10,4,3400,2.465,0.137,1379.5,340.0,639.732,v5p-8,10,10,113,639.7316117683401,665.7309623213185,684.2990009942778,1.8815635640245298,4
AF-A0A2E4J0W6-F1,127,53,10,10,4,1600,1.14,0.283,1402.9,160.0,298.93,v5p-8,10,10,53,298.93010837939755,311.88721888646387,330.6022788774105,1.8683131773712347,4
AF-A0A2E6LTS5-F1,290,273,10,10,4,8200,6.43,0.251,1275.2,820.0,2002.327,v5p-8,10,10,273,2002.3269661048932,2028.6145529451046,2064.4958115967393,2.441862153786455,8
AF-A0A2E6TW26-F1,416,472,10,10,4,14170,11.818,0.376,1199.1,1417.0,3751.846,v5p-8,10,10,472,3751.8460696866423,3793.525990777785,3872.391019028043,2.647738934147242,6
AF-A0A2E9K7C2-F1,290,319,10,10,4,9580,7.673,0.443,1248.5,958.0,2282.042,v5p-8,10,10,319,2282.042418495622,2308.322855166657,2340.446823395052,2.382090207197935,7
AF-A0A2G1XCI6-F1,91,29,10,10,4,880,0.63,0.072,1396.1,88.0,130.657,v5p-8,10,10,29,130.65692719241338,136.77300088474115,144.51585211539032,1.4847378090046974,6
AF-A0A2G6M8A1-F1,207,141,10,10,4,4240,3.208,0.178,1321.9,424.0,863.922,v5p-8,10,10,141,863.9224009031971,880.1463563432004,900.9785420248517,2.037552832318861,1
AF-A0A2G9M4L5-F1,284,237,10,10,4,7120,5.551,0.236,1282.6,712.0,1700.586,v5p-8,10,10,237,1700.5857002704797,1741.7041382399725,1764.1271222658918,2.38846306217764,5
AF-A0A2H0A271-F1,185,207,10,10,4,6220,4.752,0.201,1308.9,622.0,1397.55,v5p-8,10,10,207,1397.5503846384352,1416.477867797938,1439.1458936354034,2.246865570158256,8
AF-A0A2H0H7C1-F1,80,32,10,10,4,970,0.687,0.068,1412.9,97.0,155.322,v5p-8,10,10,32,155.32223599733197,160.4542238302489,169.45711129559447,1.6012601649209481,9
AF-A0A2H0Q2M3-F1,74,40,10,10,4,1210,0.86,0.069,1407.1,121.0,196.226,v5p-8,10,10,40,196.22637498541746,204.06474556533863,209.1725191863493,1.62170557839188,1
AF-A0A2H3IPX0-F1,335,230,10,10,4,6910,5.385,0.429,1283.3,691.0,1801.509,v5p-8,10,10,230,1801.5088376608498,1821.9613158038687,1838.4832394701773,2.607103961882561,0
AF-A0A2H6AFC7-F1,100,48,10,10,4,1450,1.051,0.083,1379.1,145.0,264.446,v5p-8,10,10,48,264.4455940839215,275.62812146925864,282.6627395575433,1.8237627178201483,9
AF-A0A2I0R2F5-F1,43,22,10,10,4,670,0.474,0.041,1414.4,67.0,95.097,v5p-8,10,10,22,95.09706934739734,99.17661934997531,103.70044939945365,1.419359243991005,6
AF-A0A2I2F664-F1,228,241,10,10,4,7240,5.583,0.221,1296.7,724.0,1582.529,v5p-8,10,10,241,1582.5289269399714,1597.700839045328,1608.8625978674525,2.1858134349999605,8
AF-A0A2I9E7M5-F1,63,36,10,10,4,1090,0.758,0.066,1438.4,109.0,167.975,v5p-8,10,10,36,167.97512477577425,177.52779799572014,188.19823987997233,1.5410561906034335,5
AF-A0A2J6IW42-F1,140,100,10,10,4,3010,2.151,0.135,1399.0,301.0,652.09,v5p-8,10,10,100,652.0903818102332,673.5350133685921,698.1468161565281,2.166413228605426,2
AF-A0A2K3UVQ0-F1,248,191,10,10,4,5740,4.353,0.206,1318.6,574.0,1233.499,v5p-8,10,10,191,1233.499076153407,1248.4299437520554,1301.8415617192704,2.1489530943439146,8
AF-A0A2L0SN56-F1,237,161,10,10,4,4840,3.743,0.365,1293.2,484.0,1084.18,v5p-8,10,10,161,1084.1795898514135,1098.7605332646583,1129.2227404208934,2.2400404748996148,9
AF-A0A2L2XE31-F1,97,58,10,10,4,1750,1.247,0.085,1403.7,175.0,337.704,v5p-8,10,10,58,337.70354012150597,351.43810925495416,362.0814542185651,1.929734514980034,5
AF-A0A2M7FZN8-F1,252,219,10,10,4,6580,5.026,0.218,1309.3,658.0,1559.968,v5p-8,10,10,219,1559.9680142326079,1580.0804509366435,1607.1852819861876,2.3707720581042673,2
AF-A0A2M7GGS1-F1,98,78,10,10,4,2350,1.681,0.115,1397.9,235.0,447.92,v5p-8,10,10,78,447.9195188707316,461.05779999831077,475.20628323046935,1.9060405058329004,2
AF-A0A2M7UNG4-F1,284,88,10,10,4,2650,1.981,1.273,1337.6,265.0,526.237,v5p-8,10,10,88,526.2366095446121,542.5002720259365,557.6724342351756,1.9857985265834417,6
AF-A0A2M8W2G7-F1,185,143,10,10,4,4300,3.179,0.169,1352.6,430.0,975.615,v5p-8,10,10,143,975.6148174551095,998.5557357163505,1017.0755040035343,2.2688716685002546,9
AF-A0A2M9NGL3-F1,279,180,10,10,4,5410,4.059,0.21,1333.0,541.0,1271.892,v5p-8,10,10,180,1271.8917621203373,1287.9254546908674,1309.2192780121882,2.3510014087252076,9
AF-A0A2N0LCA7-F1,277,158,10,10,4,4750,3.531,0.366,1345.4,475.0,1063.399,v5p-8,10,10,158,1063.3991062268344,1094.9132330504392,1116.9608825825333,2.238734960477546,8
AF-A0A2N1RNT5-F1,134,69,10,10,4,2080,1.484,0.121,1401.8,208.0,346.505,v5p-8,10,10,69,346.50484088793223,361.7903786148248,369.2360617766378,1.6658886581150587,3
AF-A0A2N1WZQ5-F1,134,124,10,10,4,3730,2.719,0.145,1372.0,373.0,737.768,v5p-8,10,10,124,737.7681412078327,755.8636535898461,776.122021178674,1.9779306734794444,1
AF-A0A2N2ADJ2-F1,138,87,10,10,4,2620,1.879,0.13,1394.1,262.0,514.158,v5p-8,10,10,87,514.1580973913174,529.1734795148493,558.0148671106093,1.9624354862264022,4
AF-A0A2N2MWP9-F1,270,185,10,10,4,5560,4.187,0.21,1328.0,556.0,1191.439,v5p-8,10,10,185,1191.4391488144247,1227.0007971750294,1277.502604032064,2.1428761669324183,9
AF-A0A2N2WKP9-F1,145,162,10,10,4,4870,3.623,0.169,1344.1,487.0,1032.282,v5p-8,10,10,162,1032.2822656166998,1053.2820484558902,1070.4025966007575,2.1196761100958925,1
AF-A0A2N3IKK9-F1,333,391,10,10,4,11740,9.682,0.498,1212.6,1174.0,2866.515,v5p-8,10,10,391,2866.5145110626863,2912.685398441999,2952.4255214128384,2.441664830547433,5
AF-A0A2N3ZG37-F1,285,248,10,10,4,7450,5.731,0.245,1300.0,745.0,1754.766,v5p-8,10,10,248,1754.766446523085,1781.1707643779487,1810.794098372855,2.3553912033866915,9
AF-A0A2N5JGB2-F1,135,91,10,10,4,2740,1.959,0.131,1398.4,274.0,568.977,v5p-8,10,10,91,568.9765039171332,584.664034641573,612.4459322852927,2.076556583639172,1
AF-A0A2N6PDX4-F1,68,47,10,10,4,1420,0.987,0.075,1438.7,142.0,238.915,v5p-8,10,10,47,238.9154636323508,251.02244442239316,258.8660629119345,1.6825032650165548,5
AF-A0A2N6T8X0-F1,106,77,10,10,4,2320,1.663,0.114,1395.3,232.0,441.766,v5p-8,10,10,77,441.76615075143525,449.83804899387314,466.6865145514589,1.9041644428941173,4
AF-A0A2N7WD38-F1,126,107,10,10,4,3220,2.353,0.134,1368.6,322.0,675.642,v5p-8,10,10,107,675.6416283652543,695.4742283794482,714.2819712553332,2.0982659266001686,5
AF-A0A2P4ERL3-F1,88,36,10,10,4,1090,0.771,0.072,1414.4,109.0,186.039,v5p-8,10,10,36,186.0394784101295,192.68932791979722,209.4632738336419,1.7067842055975184,3
AF-A0A2P4ZQ44-F1,234,180,10,10,4,5410,4.131,0.198,1309.5,541.0,1242.412,v5p-8,10,10,180,1242.4122907321403,1255.7298852963872,1266.288398046253,2.2965107037562666,7
AF-A0A2P6G2U1-F1,114,39,10,10,4,1180,0.854,0.257,1382.5,118.0,221.83,v5p-8,10,10,39,221.82959438860803,233.3114917465701,241.39265205262666,1.8799118168526103,8
AF-A0A2P6VGX3-F1,205,180,10,10,4,5410,4.09,0.19,1322.7,541.0,1195.119,v5p-8,10,10,180,1195.1194183880616,1218.4113394436513,1241.087098042476,2.209093194802332,4
AF-A0A2P8DK36-F1,167,131,10,10,4,3940,2.877,0.158,1369.4,394.0,790.802,v5p-8,10,10,131,790.8016260769846,805.2901894188324,819.3427693276129,2.007110726083717,6
AF-A0A2P8NGZ9-F1,185,34,10,10,4,1030,0.74,0.119,1391.8,103.0,213.69,v5p-8,10,10,34,213.6902493753472,219.9617187589889,227.49338107728045,2.074662615294633,8
AF-A0A2R3JP47-F1,178,112,10,10,4,3370,2.457,0.153,1371.9,337.0,664.419,v5p-8,10,10,112,664.4191427792766,674.8317998325389,689.0589523207856,1.971570156615064,1
AF-A0A2R6MPP7-F1,66,27,10,10,4,820,0.575,0.061,1425.5,82.0,137.313,v5p-8,10,10,27,137.31324163423596,147.52397513959264,159.38237015843652,1.67455172724678,2
AF-A0A2R6PPA0-F1,183,95,10,10,4,2860,2.053,0.145,1392.8,286.0,589.427,v5p-8,10,10,95,589.4271074391021,602.4521550484734,616.4979097553585,2.0609339420947625,9
AF-A0A2R7JQF2-F1,78,37,10,10,4,1120,0.783,0.07,1430.4,112.0,204.064,v5p-8,10,10,37,204.0644337914515,212.45385651168485,226.82364865082081,1.82200387313796,6
AF-A0A2R7QK65-F1,223,143,10,10,4,4300,3.163,0.179,1359.4,430.0,967.018,v5p-8,10,10,143,967.0175697609619,991.495227233089,1008.9579729792613,2.2488780692115395,0
AF-A0A2S1R5F9-F1,240,152,10,10,4,4570,3.382,0.355,1351.3,457.0,1032.163,v5p-8,10,10,152,1032.1626617289555,1049.57032839785,1079.658622532449,2.25856162303929,3
AF-A0A2S3ZWT4-F1,79,80,10,10,4,2410,3.283,0.09,734.2,241.0,408.765,v5p-8,10,10,80,408.7651501707983,424.85358856599805,444.3680517313246,1.696120955065553,0
AF-A0A2S8WA06-F1,131,34,10,10,4,1030,0.915,0.085,1125.4,103.0,167.496,v5p-8,10,10,34,167.49555521071534,178.02930850951242,187.0394503984419,1.626170438938984,6
AF-A0A2S9GX69-F1,74,54,10,10,4,1630,1.369,0.107,1190.4,163.0,249.852,v5p-8,10,10,54,249.852322535388,258.9180508040501,273.36585500404715,1.5328363345729326,7
