stem,n_residues,n_db_reps,mode,alignment_type,elapsed_seconds,n_hits,model_nickname,runner_tag,gpu_name,cpu_model,n_cpus,hostname,platform,foldseek_version,db_snapshot_tag,timestamp_utc
8d2z_A,327,229,per_candidate,1,2.4661,134,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
8daj_A,302,229,per_candidate,1,2.4046,124,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
8dez_A,173,229,per_candidate,1,1.8391,88,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
8dge_A,738,229,per_candidate,1,4.374,177,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
8dhj_A,249,229,per_candidate,1,2.0867,120,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
8dmu_A,489,229,per_candidate,1,3.1166,156,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
8dp9_A,148,229,per_candidate,1,1.7763,98,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
8dqd_A,377,229,per_candidate,1,2.6946,138,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
8dx0_A,154,229,per_candidate,1,1.8064,99,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
8e0r_A,468,229,per_candidate,1,2.6776,119,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
8e5h_A,372,229,per_candidate,1,2.9536,140,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
8eb9_A,95,229,per_candidate,1,1.6307,72,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
8ec3_A,168,229,per_candidate,1,1.9233,113,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
8eo5_A,290,229,per_candidate,1,2.3867,147,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
8gmy_A,236,229,per_candidate,1,2.1665,113,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
8q8i_A,282,229,per_candidate,1,2.1547,100,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
8ycm_A,229,229,per_candidate,1,2.1184,134,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
__ALL__,26546,229,batched,1,74.6664,11193,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-proto-229reps,2026-06-07T17:19:31+00:00
__ALL__,26546,1331330,batched,1,338.4047,30000,foldseek-easy-search-tmalign,local,,Intel(R) Core(TM) i7-10610U CPU @ 1.80GHz,8,,Linux-5.15.0-176-generic-x86_64-with-glibc2.35,718d42176d2f67d36a60866fedfb881f8d5a7ebf,afdb-24M-full-reps-1331330,2026-06-07T17:12:13+00:00
