stem,range,cut,predictor,precision
8sxs_A,all,R,ESMFold,0.794392523364486
8sxs_A,long,R,ESMFold,0.7971014492753623
8sxs_A,all,R,ESMFold2,0.8411214953271028
8sxs_A,long,R,ESMFold2,0.8405797101449275
8t27_A,all,R,ESMFold,0.7793880837359098
8t27_A,long,R,ESMFold,0.7481108312342569
8t27_A,all,R,ESMFold2,0.8244766505636071
8t27_A,long,R,ESMFold2,0.818639798488665
8t2j_A,all,R,ESMFold,0.8202247191011236
8t2j_A,long,R,ESMFold,0.8255813953488372
8t2j_A,all,R,ESMFold2,0.7724719101123596
8t2j_A,long,R,ESMFold2,0.7674418604651163
8t41_A,all,R,ESMFold,0.8712972420837589
8t41_A,long,R,ESMFold,0.8652291105121294
8t41_A,all,R,ESMFold2,0.898876404494382
8t41_A,long,R,ESMFold2,0.8908355795148248
8t4c_A,all,R,ESMFold,0.8375
8t4c_A,long,R,ESMFold,0.8532110091743119
8t4c_A,all,R,ESMFold2,0.8625
8t4c_A,long,R,ESMFold2,0.8899082568807339
8t8k_A,all,R,ESMFold,0.7923497267759563
8t8k_A,long,R,ESMFold,0.7819548872180451
8t8k_A,all,R,ESMFold2,0.7923497267759563
8t8k_A,long,R,ESMFold2,0.7593984962406015
8t93_A,all,R,ESMFold,0.6995305164319249
8t93_A,long,R,ESMFold,0.7361111111111112
8t93_A,all,R,ESMFold2,0.7417840375586855
8t93_A,long,R,ESMFold2,0.7847222222222222
8t9n_A,all,R,ESMFold,0.6428571428571429
8t9n_A,long,R,ESMFold,0.5747126436781609
8t9n_A,all,R,ESMFold2,0.9142857142857144
8t9n_A,long,R,ESMFold2,0.9080459770114944
8te9_A,all,R,ESMFold,0.7301136363636364
8te9_A,long,R,ESMFold,0.7296296296296296
8te9_A,all,R,ESMFold2,0.8806818181818182
8te9_A,long,R,ESMFold2,0.8925925925925926
8tfo_A,all,R,ESMFold,0.8287153652392947
8tfo_A,long,R,ESMFold,0.8306188925081434
8tfo_A,all,R,ESMFold2,0.8337531486146096
8tfo_A,long,R,ESMFold2,0.8338762214983714
8tfs_A,all,R,ESMFold,0.847457627118644
8tfs_A,long,R,ESMFold,0.8505747126436781
8tfs_A,all,R,ESMFold2,0.8813559322033898
8tfs_A,long,R,ESMFold2,0.8850574712643678
8hic_A,all,R,ESMFold,0.824634655532359
8hic_A,long,R,ESMFold,0.8053097345132744
8hic_A,all,R,ESMFold2,0.8956158663883089
8hic_A,long,R,ESMFold2,0.8849557522123894
8ti5_A,all,R,ESMFold,0.8974358974358975
8ti5_A,long,R,ESMFold,0.875
8ti5_A,all,R,ESMFold2,0.8717948717948718
8ti5_A,long,R,ESMFold2,0.875
8tjg_A,all,R,ESMFold,0.8467432950191571
8tjg_A,long,R,ESMFold,0.8552631578947368
8tjg_A,all,R,ESMFold2,0.8697318007662835
8tjg_A,long,R,ESMFold2,0.881578947368421
8tru_A,all,R,ESMFold,0.8191964285714286
8tru_A,long,R,ESMFold,0.8029411764705883
8tru_A,all,R,ESMFold2,0.8772321428571429
8tru_A,long,R,ESMFold2,0.8676470588235294
8tse_A,all,R,ESMFold,0.6595744680851063
8tse_A,long,R,ESMFold,0.656891495601173
8tse_A,all,R,ESMFold2,0.776595744680851
8tse_A,long,R,ESMFold2,0.7712609970674487
8tuk_A,all,R,ESMFold,0.8410596026490066
8tuk_A,long,R,ESMFold,0.8296943231441049
8tuk_A,all,R,ESMFold2,0.8609271523178808
8tuk_A,long,R,ESMFold2,0.8558951965065502
8tw1_A,all,R,ESMFold,0.5992647058823529
8tw1_A,long,R,ESMFold,0.5526315789473685
8tw1_A,all,R,ESMFold2,0.6213235294117647
8tw1_A,long,R,ESMFold2,0.5460526315789473
8tyh_A,all,R,ESMFold,0.7885196374622356
8tyh_A,long,R,ESMFold,0.7777777777777778
8tyh_A,all,R,ESMFold2,0.7885196374622356
8tyh_A,long,R,ESMFold2,0.7818930041152263
8u0i_A,all,R,ESMFold,0.8607594936708861
8u0i_A,long,R,ESMFold,0.8292682926829268
8u0i_A,all,R,ESMFold2,0.8354430379746836
8u0i_A,long,R,ESMFold2,0.7317073170731707
8u0x_A,all,R,ESMFold,0.0328947368421052
8u0x_A,long,R,ESMFold,0.0267857142857142
8u0x_A,all,R,ESMFold2,0.0263157894736842
8u0x_A,long,R,ESMFold2,0.0357142857142857
8u2f_A,all,R,ESMFold,0.696551724137931
8u2f_A,long,R,ESMFold,0.6666666666666666
8u2f_A,all,R,ESMFold2,0.8137931034482758
8u2f_A,long,R,ESMFold2,0.7692307692307693
8ubs_A,all,R,ESMFold,0.8888888888888888
8ubs_A,long,R,ESMFold,0.88
8ubs_A,all,R,ESMFold2,0.8641975308641975
8ubs_A,long,R,ESMFold2,0.86
8uds_A,all,R,ESMFold,0.8490566037735849
8uds_A,long,R,ESMFold,0.828125
8uds_A,all,R,ESMFold2,0.8679245283018868
8uds_A,long,R,ESMFold2,0.859375
8tls_A,all,R,ESMFold,0.8452380952380952
8tls_A,long,R,ESMFold,0.8793103448275862
8tls_A,all,R,ESMFold2,0.8214285714285714
8tls_A,long,R,ESMFold2,0.8275862068965517
8ujw_A,all,R,ESMFold,0.532051282051282
8ujw_A,long,R,ESMFold,0.4224137931034483
8ujw_A,all,R,ESMFold2,0.5384615384615384
8ujw_A,long,R,ESMFold2,0.4310344827586206
8uk7_A,all,R,ESMFold,0.7647058823529411
8uk7_A,long,R,ESMFold,0.76
8uk7_A,all,R,ESMFold2,0.8137254901960784
8uk7_A,long,R,ESMFold2,0.86
8upi_A,all,R,ESMFold,0.8
8upi_A,long,R,ESMFold,0.7707317073170732
8upi_A,all,R,ESMFold2,0.8243478260869566
8upi_A,long,R,ESMFold2,0.802439024390244
8v3m_A,all,R,ESMFold,0.8281505728314239
8v3m_A,long,R,ESMFold,0.8187919463087249
8v3m_A,all,R,ESMFold2,0.8592471358428805
8v3m_A,long,R,ESMFold2,0.8568232662192393
8v6t_A,all,R,ESMFold,0.6385542168674698
8v6t_A,long,R,ESMFold,0.6793893129770993
8v6t_A,all,R,ESMFold2,0.7048192771084337
8v6t_A,long,R,ESMFold2,0.7251908396946565
8vcw_A,all,R,ESMFold,0.835509138381201
8vcw_A,long,R,ESMFold,0.84
8vcw_A,all,R,ESMFold2,0.8798955613577023
8vcw_A,long,R,ESMFold2,0.88
8vh7_A,all,R,ESMFold,0.771875
8vh7_A,long,R,ESMFold,0.756198347107438
8vh7_A,all,R,ESMFold2,0.8421875
8vh7_A,long,R,ESMFold2,0.8409090909090909
8vpo_A,all,R,ESMFold,0.7933070866141733
8vpo_A,long,R,ESMFold,0.7859007832898173
8vpo_A,all,R,ESMFold2,0.7854330708661418
8vpo_A,long,R,ESMFold2,0.783289817232376
8vqk_A,all,R,ESMFold,0.7647058823529411
8vqk_A,long,R,ESMFold,0.7593220338983051
8vqk_A,all,R,ESMFold2,0.8951406649616368
8vqk_A,long,R,ESMFold2,0.8915254237288136
8w6v_A,all,R,ESMFold,0.7670549084858569
8w6v_A,long,R,ESMFold,0.7479838709677419
8w6v_A,all,R,ESMFold2,0.8219633943427621
8w6v_A,long,R,ESMFold2,0.8064516129032258
8wac_A,all,R,ESMFold,0.7317073170731707
8wac_A,long,R,ESMFold,0.7375
8wac_A,all,R,ESMFold2,0.902439024390244
8wac_A,long,R,ESMFold2,0.875
8wae_A,all,R,ESMFold,0.936842105263158
8wae_A,long,R,ESMFold,0.9245283018867924
8wae_A,all,R,ESMFold2,0.9473684210526316
8wae_A,long,R,ESMFold2,0.9245283018867924
8wcf_A,all,R,ESMFold,0.8757763975155279
8wcf_A,long,R,ESMFold,0.8636363636363636
8wcf_A,all,R,ESMFold2,0.8819875776397516
8wcf_A,long,R,ESMFold2,0.8818181818181818
8whj_A,all,R,ESMFold,0.8727272727272727
8whj_A,long,R,ESMFold,0.8666666666666667
8whj_A,all,R,ESMFold2,0.8727272727272727
8whj_A,long,R,ESMFold2,0.8727272727272727
8whn_A,all,R,ESMFold,0.8785046728971962
8whn_A,long,R,ESMFold,0.8690476190476191
8whn_A,all,R,ESMFold2,0.8411214953271028
8whn_A,long,R,ESMFold2,0.8214285714285714
8wik_A,all,R,ESMFold,0.8591954022988506
8wik_A,long,R,ESMFold,0.8430493273542601
8wik_A,all,R,ESMFold2,0.867816091954023
8wik_A,long,R,ESMFold2,0.8609865470852018
8wj5_A,all,R,ESMFold,0.6590909090909091
8wj5_A,long,R,ESMFold,0.582089552238806
8wj5_A,all,R,ESMFold2,0.6818181818181818
8wj5_A,long,R,ESMFold2,0.582089552238806
8kbl_A,all,R,ESMFold,0.8214285714285714
8kbl_A,long,R,ESMFold,0.8596491228070176
8kbl_A,all,R,ESMFold2,0.8571428571428571
8kbl_A,long,R,ESMFold2,0.8771929824561403
8wnj_A,all,R,ESMFold,0.8228070175438597
8wnj_A,long,R,ESMFold,0.809255079006772
8wnj_A,all,R,ESMFold2,0.8692982456140351
8wnj_A,long,R,ESMFold2,0.863431151241535
8wrx_A,all,R,ESMFold,0.717948717948718
8wrx_A,long,R,ESMFold,0.6730769230769231
8wrx_A,all,R,ESMFold2,0.7692307692307693
8wrx_A,long,R,ESMFold2,0.75
8wt3_A,all,R,ESMFold,0.9224137931034484
8wt3_A,long,R,ESMFold,0.8947368421052632
8wt3_A,all,R,ESMFold2,0.896551724137931
8wt3_A,long,R,ESMFold2,0.8596491228070176
8wim_A,all,R,ESMFold,0.5543018335684062
8wim_A,long,R,ESMFold,0.5313092979127134
8wim_A,all,R,ESMFold2,0.6826516220028209
8wim_A,long,R,ESMFold2,0.6888045540796964
8x7c_A,all,R,ESMFold,0.8132678132678133
8x7c_A,long,R,ESMFold,0.8184713375796179
8x7c_A,all,R,ESMFold2,0.8402948402948403
8x7c_A,long,R,ESMFold2,0.8375796178343949
8xf9_A,all,R,ESMFold,0.8388278388278388
8xf9_A,long,R,ESMFold,0.8351648351648352
8xf9_A,all,R,ESMFold2,0.8571428571428571
8xf9_A,long,R,ESMFold2,0.8736263736263736
8xjg_A,all,R,ESMFold,0.8990825688073395
8xjg_A,long,R,ESMFold,0.9107142857142856
8xjg_A,all,R,ESMFold2,0.908256880733945
8xjg_A,long,R,ESMFold2,0.9107142857142856
8xpk_A,all,R,ESMFold,0.9116719242902208
8xpk_A,long,R,ESMFold,0.9
8xpk_A,all,R,ESMFold2,0.9116719242902208
8xpk_A,long,R,ESMFold2,0.917391304347826
8y9p_A,all,R,ESMFold,0.8
8y9p_A,long,R,ESMFold,0.7933333333333333
8y9p_A,all,R,ESMFold2,0.845
8y9p_A,long,R,ESMFold2,0.8466666666666667
8ye0_A,all,R,ESMFold,0.803680981595092
8ye0_A,long,R,ESMFold,0.7964601769911505
8ye0_A,all,R,ESMFold2,0.8650306748466258
8ye0_A,long,R,ESMFold2,0.8716814159292036
8yxk_A,all,R,ESMFold,0.8939393939393939
8yxk_A,long,R,ESMFold,0.9054054054054054
8yxk_A,all,R,ESMFold2,0.9242424242424242
8yxk_A,long,R,ESMFold2,0.9324324324324323
8z4q_A,all,R,ESMFold,0.728440366972477
8z4q_A,long,R,ESMFold,0.7327188940092166
8z4q_A,all,R,ESMFold2,0.8018348623853211
8z4q_A,long,R,ESMFold2,0.8133640552995391
8hel_A,all,R,ESMFold,0.375
8hel_A,long,R,ESMFold,0.3
8hel_A,all,R,ESMFold2,0.075
8hel_A,long,R,ESMFold2,0.1
8zqf_A,all,R,ESMFold,0.6303317535545023
8zqf_A,long,R,ESMFold,0.656441717791411
8zqf_A,all,R,ESMFold2,0.8862559241706162
8zqf_A,long,R,ESMFold2,0.8711656441717791
9azz_A,all,R,ESMFold,0.7771428571428571
9azz_A,long,R,ESMFold,0.6785714285714286
9azz_A,all,R,ESMFold2,0.7714285714285715
9azz_A,long,R,ESMFold2,0.7023809523809523
9b1u_A,all,R,ESMFold,0.8085808580858086
9b1u_A,long,R,ESMFold,0.8084112149532711
9b1u_A,all,R,ESMFold2,0.7656765676567657
9b1u_A,long,R,ESMFold2,0.7570093457943925
9bks_A,all,R,ESMFold,0.9054054054054054
9bks_A,long,R,ESMFold,0.9166666666666666
9bks_A,all,R,ESMFold2,0.9324324324324323
9bks_A,long,R,ESMFold2,0.9166666666666666
9bjx_A,all,R,ESMFold,0.819047619047619
9bjx_A,long,R,ESMFold,0.8303030303030303
9bjx_A,all,R,ESMFold2,0.8428571428571429
9bjx_A,long,R,ESMFold2,0.8484848484848485
9cfj_A,all,R,ESMFold,0.8051470588235294
9cfj_A,long,R,ESMFold,0.8235294117647058
9cfj_A,all,R,ESMFold2,0.8125
9cfj_A,long,R,ESMFold2,0.8190045248868778
9crn_A,all,R,ESMFold,0.8177215189873418
9crn_A,long,R,ESMFold,0.8284671532846716
9crn_A,all,R,ESMFold2,0.8329113924050633
9crn_A,long,R,ESMFold2,0.8467153284671532
9d91_A,all,R,ESMFold,0.7386759581881533
9d91_A,long,R,ESMFold,0.7818181818181819
9d91_A,all,R,ESMFold2,0.7491289198606271
9d91_A,long,R,ESMFold2,0.7954545454545454
9etn_A,all,R,ESMFold,0.8397534668721109
9etn_A,long,R,ESMFold,0.8070652173913043
9etn_A,all,R,ESMFold2,0.8505392912172574
9etn_A,long,R,ESMFold2,0.8097826086956522
9evq_A,all,R,ESMFold,0.6150234741784038
9evq_A,long,R,ESMFold,0.5798816568047337
9evq_A,all,R,ESMFold2,0.6854460093896714
9evq_A,long,R,ESMFold2,0.650887573964497
9fce_A,all,R,ESMFold,0.8121827411167513
9fce_A,long,R,ESMFold,0.8088235294117647
9fce_A,all,R,ESMFold2,0.8527918781725888
9fce_A,long,R,ESMFold2,0.8529411764705882
9fgp_A,all,R,ESMFold,0.125
9fgp_A,long,R,ESMFold,0.0101010101010101
9fgp_A,all,R,ESMFold2,0.125
9fgp_A,long,R,ESMFold2,0.0404040404040404
9f9u_A,all,R,ESMFold,0.7634408602150538
9f9u_A,long,R,ESMFold,0.7380952380952381
9f9u_A,all,R,ESMFold2,0.7580645161290323
9f9u_A,long,R,ESMFold2,0.7380952380952381
9fow_A,all,R,ESMFold,0.7883211678832117
9fow_A,long,R,ESMFold,0.780952380952381
9fow_A,all,R,ESMFold2,0.7956204379562044
9fow_A,long,R,ESMFold2,0.819047619047619
9fym_A,all,R,ESMFold,0.7890818858560794
9fym_A,long,R,ESMFold,0.7903225806451613
9fym_A,all,R,ESMFold2,0.8486352357320099
9fym_A,long,R,ESMFold2,0.8580645161290322
9ijc_A,all,R,ESMFold,0.7897574123989218
9ijc_A,long,R,ESMFold,0.7894736842105263
9ijc_A,all,R,ESMFold2,0.8652291105121294
9ijc_A,long,R,ESMFold2,0.868421052631579
9iuh_A,all,R,ESMFold,0.8271334792122538
9iuh_A,long,R,ESMFold,0.8181818181818182
9iuh_A,all,R,ESMFold2,0.8796498905908097
9iuh_A,long,R,ESMFold2,0.8727272727272727
9j0v_A,all,R,ESMFold,0.8169642857142857
9j0v_A,long,R,ESMFold,0.7950310559006211
9j0v_A,all,R,ESMFold2,0.8035714285714286
9j0v_A,long,R,ESMFold2,0.8074534161490683
7ur7_A,all,R,Protenix-v2 single-seq,0.8333333333333334
7ur7_A,long,R,Protenix-v2 single-seq,0.8387096774193549
7ur7_A,all,R,Protenix-v2 + MSA,0.8333333333333334
7ur7_A,long,R,Protenix-v2 + MSA,0.8387096774193549
8ah9_A,all,R,Protenix-v2 single-seq,0.9166666666666666
8ah9_A,long,R,Protenix-v2 single-seq,0.8372093023255814
8ah9_A,all,R,Protenix-v2 + MSA,0.9318181818181818
8ah9_A,long,R,Protenix-v2 + MSA,0.8372093023255814
8eov_A,all,R,Protenix-v2 single-seq,0.8827586206896552
8eov_A,long,R,Protenix-v2 single-seq,0.8584905660377359
8eov_A,all,R,Protenix-v2 + MSA,0.8758620689655172
8eov_A,long,R,Protenix-v2 + MSA,0.8584905660377359
8fjf_A,all,R,Protenix-v2 single-seq,0.8315789473684211
8fjf_A,long,R,Protenix-v2 single-seq,0.7058823529411765
8fjf_A,all,R,Protenix-v2 + MSA,0.8210526315789474
8fjf_A,long,R,Protenix-v2 + MSA,0.7941176470588235
8gac_A,all,R,Protenix-v2 single-seq,0.8354430379746836
8gac_A,long,R,Protenix-v2 single-seq,0.8928571428571429
8gac_A,all,R,Protenix-v2 + MSA,0.8354430379746836
8gac_A,long,R,Protenix-v2 + MSA,0.875
8k7z_A,all,R,Protenix-v2 single-seq,0.8021978021978022
8k7z_A,long,R,Protenix-v2 single-seq,0.8266666666666667
8k7z_A,all,R,Protenix-v2 + MSA,0.8241758241758241
8k7z_A,long,R,Protenix-v2 + MSA,0.8266666666666667
8k83_A,all,R,Protenix-v2 single-seq,0.9098360655737704
8k83_A,long,R,Protenix-v2 single-seq,0.9270833333333334
8k83_A,all,R,Protenix-v2 + MSA,0.918032786885246
8k83_A,long,R,Protenix-v2 + MSA,0.9375
8k84_A,all,R,Protenix-v2 single-seq,0.8529411764705882
8k84_A,long,R,Protenix-v2 single-seq,0.8529411764705882
8k84_A,all,R,Protenix-v2 + MSA,0.8602941176470589
8k84_A,long,R,Protenix-v2 + MSA,0.8725490196078431
8kcj_A,all,R,Protenix-v2 single-seq,0.8770491803278688
8kcj_A,long,R,Protenix-v2 single-seq,0.8928571428571429
8kcj_A,all,R,Protenix-v2 + MSA,0.8934426229508197
8kcj_A,long,R,Protenix-v2 + MSA,0.8928571428571429
8ka7_A,all,R,Protenix-v2 single-seq,0.7011494252873564
8ka7_A,long,R,Protenix-v2 single-seq,0.7254901960784313
8ka7_A,all,R,Protenix-v2 + MSA,0.6551724137931034
8ka7_A,long,R,Protenix-v2 + MSA,0.6666666666666666
8kac_A,all,R,Protenix-v2 single-seq,0.875
8kac_A,long,R,Protenix-v2 single-seq,0.8787878787878788
8kac_A,all,R,Protenix-v2 + MSA,0.8269230769230769
8kac_A,long,R,Protenix-v2 + MSA,0.803030303030303
8oyy_A,all,R,Protenix-v2 single-seq,0.9372384937238494
8oyy_A,long,R,Protenix-v2 single-seq,0.9382022471910112
8oyy_A,all,R,Protenix-v2 + MSA,0.9456066945606696
8oyy_A,long,R,Protenix-v2 + MSA,0.9438202247191012
8qkd_A,all,R,Protenix-v2 single-seq,0.8870292887029289
8qkd_A,long,R,Protenix-v2 single-seq,0.9015544041450776
8qkd_A,all,R,Protenix-v2 + MSA,0.899581589958159
8qkd_A,long,R,Protenix-v2 + MSA,0.9015544041450776
8qup_A,all,R,Protenix-v2 single-seq,0.7419354838709677
8qup_A,long,R,Protenix-v2 single-seq,0.7361111111111112
8qup_A,all,R,Protenix-v2 + MSA,0.7849462365591398
8qup_A,long,R,Protenix-v2 + MSA,0.7638888888888888
8vc8_A,all,R,Protenix-v2 single-seq,0.7210884353741497
8vc8_A,long,R,Protenix-v2 single-seq,0.7368421052631579
8vc8_A,all,R,Protenix-v2 + MSA,0.8707482993197279
8vc8_A,long,R,Protenix-v2 + MSA,0.8631578947368421
8es6_A,all,R,Protenix-v2 single-seq,0.05
8es6_A,long,R,Protenix-v2 single-seq,0.029810298102981
8es6_A,all,R,Protenix-v2 + MSA,0.8804347826086957
8es6_A,long,R,Protenix-v2 + MSA,0.8943089430894309
8ev4_A,all,R,Protenix-v2 single-seq,0.0736842105263157
8ev4_A,long,R,Protenix-v2 single-seq,0.0
8ev4_A,all,R,Protenix-v2 + MSA,0.9157894736842104
8ev4_A,long,R,Protenix-v2 + MSA,0.8909090909090909
8ew1_A,all,R,Protenix-v2 single-seq,0.0523415977961432
8ew1_A,long,R,Protenix-v2 single-seq,0.018796992481203
8ew1_A,all,R,Protenix-v2 + MSA,0.8815426997245179
8ew1_A,long,R,Protenix-v2 + MSA,0.868421052631579
8ew9_A,all,R,Protenix-v2 single-seq,0.0995670995670995
8ew9_A,long,R,Protenix-v2 single-seq,0.0365853658536585
8ew9_A,all,R,Protenix-v2 + MSA,0.7835497835497836
8ew9_A,long,R,Protenix-v2 + MSA,0.7865853658536586
8ey3_A,all,R,Protenix-v2 single-seq,0.2564102564102564
8ey3_A,long,R,Protenix-v2 single-seq,0.0
8ey3_A,all,R,Protenix-v2 + MSA,0.8717948717948718
8ey3_A,long,R,Protenix-v2 + MSA,0.8
8ez6_A,all,R,Protenix-v2 single-seq,0.2142857142857142
8ez6_A,long,R,Protenix-v2 single-seq,0.1904761904761904
8ez6_A,all,R,Protenix-v2 + MSA,0.9047619047619048
8ez6_A,long,R,Protenix-v2 + MSA,0.9047619047619048
8ezw_A,all,R,Protenix-v2 single-seq,0.4830508474576271
8ezw_A,long,R,Protenix-v2 single-seq,0.45
8ezw_A,all,R,Protenix-v2 + MSA,0.8050847457627118
8ezw_A,long,R,Protenix-v2 + MSA,0.8
8f8n_A,all,R,Protenix-v2 single-seq,0.4036697247706422
8f8n_A,long,R,Protenix-v2 single-seq,0.4705882352941176
8f8n_A,all,R,Protenix-v2 + MSA,0.7798165137614679
8f8n_A,long,R,Protenix-v2 + MSA,0.788235294117647
8f9o_A,all,R,Protenix-v2 single-seq,0.0898305084745762
8f9o_A,long,R,Protenix-v2 single-seq,0.0607476635514018
8f9o_A,all,R,Protenix-v2 + MSA,0.8966101694915254
8f9o_A,long,R,Protenix-v2 + MSA,0.8925233644859814
8fbc_A,all,R,Protenix-v2 single-seq,0.0657276995305164
8fbc_A,long,R,Protenix-v2 single-seq,0.0444444444444444
8fbc_A,all,R,Protenix-v2 + MSA,0.8427230046948356
8fbc_A,long,R,Protenix-v2 + MSA,0.8380952380952381
8jjq_A,all,R,Protenix-v2 single-seq,0.1242774566473988
8jjq_A,long,R,Protenix-v2 single-seq,0.0806451612903225
8jjq_A,all,R,Protenix-v2 + MSA,0.8786127167630058
8jjq_A,long,R,Protenix-v2 + MSA,0.8870967741935484
8fr5_A,all,R,Protenix-v2 single-seq,0.3444444444444444
8fr5_A,long,R,Protenix-v2 single-seq,0.2884615384615384
8fr5_A,all,R,Protenix-v2 + MSA,0.8222222222222222
8fr5_A,long,R,Protenix-v2 + MSA,0.7884615384615384
8fty_A,all,R,Protenix-v2 single-seq,0.4578313253012048
8fty_A,long,R,Protenix-v2 single-seq,0.4140625
8fty_A,all,R,Protenix-v2 + MSA,0.910499139414802
8fty_A,long,R,Protenix-v2 + MSA,0.9036458333333334
8h2f_A,all,R,Protenix-v2 single-seq,0.1390374331550802
8h2f_A,long,R,Protenix-v2 single-seq,0.152
8h2f_A,all,R,Protenix-v2 + MSA,0.9037433155080212
8h2f_A,long,R,Protenix-v2 + MSA,0.912
8fz8_A,all,R,Protenix-v2 single-seq,0.0708446866485013
8fz8_A,long,R,Protenix-v2 single-seq,0.0363636363636363
8fz8_A,all,R,Protenix-v2 + MSA,0.7874659400544959
8fz8_A,long,R,Protenix-v2 + MSA,0.8
8fz9_A,all,R,Protenix-v2 single-seq,0.0863309352517985
8fz9_A,long,R,Protenix-v2 single-seq,0.0714285714285714
8fz9_A,all,R,Protenix-v2 + MSA,0.8273381294964028
8fz9_A,long,R,Protenix-v2 + MSA,0.7959183673469388
8g0n_A,all,R,Protenix-v2 single-seq,0.0988593155893536
8g0n_A,long,R,Protenix-v2 single-seq,0.0673076923076923
8g0n_A,all,R,Protenix-v2 + MSA,0.8973384030418251
8g0n_A,long,R,Protenix-v2 + MSA,0.8942307692307693
8g1l_A,all,R,Protenix-v2 single-seq,0.5054545454545455
8g1l_A,long,R,Protenix-v2 single-seq,0.510752688172043
8g1l_A,all,R,Protenix-v2 + MSA,0.8545454545454545
8g1l_A,long,R,Protenix-v2 + MSA,0.8548387096774194
8g1y_A,all,R,Protenix-v2 single-seq,0.0966386554621848
8g1y_A,long,R,Protenix-v2 single-seq,0.0533707865168539
8g1y_A,all,R,Protenix-v2 + MSA,0.8361344537815126
8g1y_A,long,R,Protenix-v2 + MSA,0.8398876404494382
8g32_A,all,R,Protenix-v2 single-seq,0.017910447761194
8g32_A,long,R,Protenix-v2 single-seq,0.0076335877862595
8g32_A,all,R,Protenix-v2 + MSA,0.7164179104477612
8g32_A,long,R,Protenix-v2 + MSA,0.6717557251908397
8g52_A,all,R,Protenix-v2 single-seq,0.46875
8g52_A,long,R,Protenix-v2 single-seq,0.4571428571428571
8g52_A,all,R,Protenix-v2 + MSA,0.8828125
8g52_A,long,R,Protenix-v2 + MSA,0.8742857142857143
8g53_A,all,R,Protenix-v2 single-seq,0.3866666666666666
8g53_A,long,R,Protenix-v2 single-seq,0.2954545454545454
8g53_A,all,R,Protenix-v2 + MSA,0.8933333333333333
8g53_A,long,R,Protenix-v2 + MSA,0.8636363636363636
8g5u_A,all,R,Protenix-v2 single-seq,0.0766355140186915
8g5u_A,long,R,Protenix-v2 single-seq,0.024330900243309
8g5u_A,all,R,Protenix-v2 + MSA,0.8635514018691589
8g5u_A,long,R,Protenix-v2 + MSA,0.8588807785888077
8g64_A,all,R,Protenix-v2 single-seq,0.4733333333333333
8g64_A,long,R,Protenix-v2 single-seq,0.5
8g64_A,all,R,Protenix-v2 + MSA,0.8933333333333333
8g64_A,long,R,Protenix-v2 + MSA,0.9152542372881356
8gdl_A,all,R,Protenix-v2 single-seq,0.1306532663316583
8gdl_A,long,R,Protenix-v2 single-seq,0.0909090909090909
8gdl_A,all,R,Protenix-v2 + MSA,0.864321608040201
8gdl_A,long,R,Protenix-v2 + MSA,0.8636363636363636
8gj9_A,all,R,Protenix-v2 single-seq,0.7777777777777778
8gj9_A,long,R,Protenix-v2 single-seq,0.7647058823529411
8gj9_A,all,R,Protenix-v2 + MSA,0.7777777777777778
8gj9_A,long,R,Protenix-v2 + MSA,0.7647058823529411
8gjw_A,all,R,Protenix-v2 single-seq,0.1009389671361502
8gjw_A,long,R,Protenix-v2 single-seq,0.0693069306930693
8gjw_A,all,R,Protenix-v2 + MSA,0.8779342723004695
8gjw_A,long,R,Protenix-v2 + MSA,0.8712871287128713
8gjy_A,all,R,Protenix-v2 single-seq,0.0992907801418439
8gjy_A,long,R,Protenix-v2 single-seq,0.0457516339869281
8gjy_A,all,R,Protenix-v2 + MSA,0.8156028368794326
8gjy_A,long,R,Protenix-v2 + MSA,0.8104575163398693
8gkd_A,all,R,Protenix-v2 single-seq,0.5604395604395604
8gkd_A,long,R,Protenix-v2 single-seq,0.5630498533724341
8gkd_A,all,R,Protenix-v2 + MSA,0.9252747252747252
8gkd_A,long,R,Protenix-v2 + MSA,0.9325513196480938
8gok_A,all,R,Protenix-v2 single-seq,0.072992700729927
8gok_A,long,R,Protenix-v2 single-seq,0.0223463687150838
8gok_A,all,R,Protenix-v2 + MSA,0.8686131386861314
8gok_A,long,R,Protenix-v2 + MSA,0.8491620111731844
8gr7_A,all,R,Protenix-v2 single-seq,0.2134831460674157
8gr7_A,long,R,Protenix-v2 single-seq,0.1870503597122302
8gr7_A,all,R,Protenix-v2 + MSA,0.8960674157303371
8gr7_A,long,R,Protenix-v2 + MSA,0.89568345323741
8gqq_A,all,R,Protenix-v2 single-seq,0.7070707070707071
8gqq_A,long,R,Protenix-v2 single-seq,0.56
8gqq_A,all,R,Protenix-v2 + MSA,0.8383838383838383
8gqq_A,long,R,Protenix-v2 + MSA,0.76
8gtz_A,all,R,Protenix-v2 single-seq,0.3411016949152542
8gtz_A,long,R,Protenix-v2 single-seq,0.3093093093093093
8gtz_A,all,R,Protenix-v2 + MSA,0.8622881355932204
8gtz_A,long,R,Protenix-v2 + MSA,0.8648648648648649
8h02_A,all,R,Protenix-v2 single-seq,0.1666666666666666
8h02_A,long,R,Protenix-v2 single-seq,0.0625
8h02_A,all,R,Protenix-v2 + MSA,0.9074074074074074
8h02_A,long,R,Protenix-v2 + MSA,0.90625
8h5s_A,all,R,Protenix-v2 single-seq,0.1884816753926701
8h5s_A,long,R,Protenix-v2 single-seq,0.1623931623931624
8h5s_A,all,R,Protenix-v2 + MSA,0.8115183246073299
