dataset,stem,subset,is_viral
foldbench_monomer,8khv_A,eval-test,0
foldbench_monomer,8kih_A,eval-test,0
foldbench_monomer,8ok3_A,eval-test,0
foldbench_monomer,8oqh_A,eval-test,0
foldbench_monomer,8ork_A,eval-test,0
foldbench_monomer,8os2_A,eval-test,0
foldbench_monomer,8owf_A,eval-test,0
foldbench_monomer,8osz_A,eval-test,0
foldbench_monomer,8ou1_A,eval-test,0
foldbench_monomer,8ovq_A,eval-test,0
foldbench_monomer,8ovu_A,eval-test,0
foldbench_monomer,8ow8_A,eval-test,0
foldbench_monomer,8oxk_A,eval-test,0
foldbench_monomer,8oxl_A,eval-test,0
foldbench_monomer,8p0e_A,eval-test,1
foldbench_monomer,8p2a_A,eval-test,0
foldbench_monomer,8p5p_A,eval-test,0
foldbench_monomer,8p5n_A,eval-test,0
foldbench_monomer,7wu8_A,eval-test,0
foldbench_monomer,8pak_A,eval-test,0
foldbench_monomer,8paq_A,eval-test,0
foldbench_monomer,8pb5_A,eval-test,0
foldbench_monomer,8por_A,eval-test,0
foldbench_monomer,8ptd_A,eval-test,0
foldbench_monomer,8pu2_A,eval-test,0
foldbench_monomer,8pvs_A,eval-test,0
foldbench_monomer,8pw2_A,eval-test,1
foldbench_monomer,8pxc_A,eval-test,0
foldbench_monomer,8pxu_A,eval-test,0
foldbench_monomer,8q1v_A,eval-test,0
foldbench_monomer,8qb1_A,eval-test,0
foldbench_monomer,8qd8_A,eval-test,0
foldbench_monomer,8qjp_A,eval-test,0
foldbench_monomer,8qlc_A,eval-test,0
foldbench_monomer,8qoh_A,eval-test,0
foldbench_monomer,8qpj_A,eval-test,0
foldbench_monomer,8qq1_A,eval-test,0
foldbench_monomer,8qle_A,eval-test,0
foldbench_monomer,8qx6_A,eval-test,0
foldbench_monomer,8r2c_A,eval-test,0
foldbench_monomer,8r5n_A,eval-test,0
foldbench_monomer,8ra0_A,eval-test,0
foldbench_monomer,8rcw_A,eval-test,0
foldbench_monomer,8rdd_A,eval-test,0
foldbench_monomer,8re3_A,eval-test,0
foldbench_monomer,8rom_A,eval-test,0
foldbench_monomer,8an4_A,eval-test,0
foldbench_monomer,8qnf_A,eval-test,0
foldbench_monomer,8s5b_A,eval-test,0
foldbench_monomer,8s9l_A,eval-test,0
foldbench_monomer,8sot_A,eval-test,0
foldbench_monomer,8spc_A,eval-test,0
foldbench_monomer,8suc_A,eval-test,0
foldbench_monomer,8sv7_A,eval-test,0
foldbench_monomer,8sx0_A,eval-test,0
foldbench_monomer,8sxs_A,eval-test,0
foldbench_monomer,8gm7_A,eval-test,0
foldbench_monomer,8t27_A,eval-test,0
foldbench_monomer,8t2j_A,eval-test,0
foldbench_monomer,8t41_A,eval-test,0
foldbench_monomer,8t4c_A,eval-test,0
foldbench_monomer,8t5t_A,eval-test,0
foldbench_monomer,8t8k_A,eval-test,0
foldbench_monomer,8t93_A,eval-test,1
foldbench_monomer,8t9n_A,eval-test,0
foldbench_monomer,8te9_A,eval-test,0
foldbench_monomer,8tfo_A,eval-test,0
foldbench_monomer,8tfs_A,eval-test,0
foldbench_monomer,8hic_A,eval-test,0
foldbench_monomer,8ti5_A,eval-test,0
foldbench_monomer,8tjg_A,eval-test,0
foldbench_monomer,8tru_A,eval-test,0
foldbench_monomer,8tse_A,eval-test,0
foldbench_monomer,8tuk_A,eval-test,0
foldbench_monomer,8tw1_A,eval-test,1
foldbench_monomer,8tyh_A,eval-test,0
foldbench_monomer,8u0i_A,eval-test,0
foldbench_monomer,8u0x_A,eval-test,0
foldbench_monomer,8u2f_A,eval-test,0
foldbench_monomer,8ubs_A,eval-test,0
foldbench_monomer,8uds_A,eval-test,0
foldbench_monomer,8tls_A,eval-test,0
foldbench_monomer,8ujw_A,eval-test,0
foldbench_monomer,8uk7_A,eval-test,0
foldbench_monomer,8upi_A,eval-test,0
foldbench_monomer,8ux2_A,eval-test,0
foldbench_monomer,8v3m_A,eval-test,0
foldbench_monomer,8v6t_A,eval-test,0
foldbench_monomer,8vcw_A,eval-test,0
foldbench_monomer,8vh7_A,eval-test,0
foldbench_monomer,8vpo_A,eval-test,0
foldbench_monomer,8vqk_A,eval-test,0
foldbench_monomer,8w6v_A,eval-test,0
foldbench_monomer,8w7p_A,eval-test,0
foldbench_monomer,8wac_A,eval-test,0
foldbench_monomer,8wae_A,eval-test,0
foldbench_monomer,8wc1_A,eval-test,0
foldbench_monomer,8wcf_A,eval-test,0
foldbench_monomer,8whj_A,eval-test,0
foldbench_monomer,8whn_A,eval-test,0
foldbench_monomer,8wik_A,eval-test,0
foldbench_monomer,8wj5_A,eval-test,0
foldbench_monomer,8kbl_A,eval-test,0
foldbench_monomer,8wnj_A,eval-test,0
foldbench_monomer,8wrx_A,eval-test,1
foldbench_monomer,8wt3_A,eval-test,0
foldbench_monomer,8wim_A,eval-test,1
foldbench_monomer,8x7c_A,eval-test,0
foldbench_monomer,8xf9_A,eval-test,0
foldbench_monomer,8xif_A,eval-test,1
foldbench_monomer,8xjg_A,eval-test,0
foldbench_monomer,8xpk_A,eval-test,0
foldbench_monomer,8y9p_A,eval-test,0
foldbench_monomer,8ye0_A,eval-test,0
foldbench_monomer,8wqn_A,eval-test,0
foldbench_monomer,8yxk_A,eval-test,0
foldbench_monomer,8z4q_A,eval-test,0
foldbench_monomer,8hel_A,eval-test,1
foldbench_monomer,8zqf_A,eval-test,0
foldbench_monomer,9aue_A,eval-test,0
foldbench_monomer,9azz_A,eval-test,0
foldbench_monomer,9b1u_A,eval-test,0
foldbench_monomer,9b8e_A,eval-test,0
foldbench_monomer,9bks_A,eval-test,0
foldbench_monomer,9bjx_A,eval-test,0
foldbench_monomer,9cfj_A,eval-test,0
foldbench_monomer,9crn_A,eval-test,0
foldbench_monomer,9d91_A,eval-test,0
foldbench_monomer,9etn_A,eval-test,0
foldbench_monomer,9evq_A,eval-test,0
foldbench_monomer,9fce_A,eval-test,0
foldbench_monomer,9fgp_A,eval-test,0
foldbench_monomer,9f9u_A,eval-test,0
foldbench_monomer,9fow_A,eval-test,0
foldbench_monomer,9fym_A,eval-test,0
foldbench_monomer,9gso_A,eval-test,0
foldbench_monomer,9ijc_A,eval-test,0
foldbench_monomer,9iuh_A,eval-test,0
foldbench_monomer,9j0v_A,eval-test,0
foldbench_monomer,9jq9_A,eval-test,0
foldbench_monomer,7pv5_A,eval-val,0
foldbench_monomer,7qp5_A,eval-val,0
foldbench_monomer,7qsj_A,eval-val,0
foldbench_monomer,7t9r_A,eval-val,0
foldbench_monomer,7tlh_A,eval-val,0
foldbench_monomer,7tjb_A,eval-val,0
foldbench_monomer,7uba_A,eval-val,0
foldbench_monomer,7uk8_A,eval-val,0
foldbench_monomer,7ur2_A,eval-val,0
foldbench_monomer,7urp_A,eval-val,0
foldbench_monomer,7uvg_A,eval-val,0
foldbench_monomer,7uww_A,eval-val,0
foldbench_monomer,7v3o_A,eval-val,0
foldbench_monomer,7w15_A,eval-val,0
foldbench_monomer,7y3h_A,eval-val,0
foldbench_monomer,7wz5_A,eval-val,0
foldbench_monomer,7wzm_A,eval-val,0
foldbench_monomer,7x4p_A,eval-val,0
foldbench_monomer,7x3h_A,eval-val,0
foldbench_monomer,7x8l_A,eval-val,0
foldbench_monomer,7xcd_A,eval-val,1
foldbench_monomer,7xg9_A,eval-val,0
foldbench_monomer,7xi5_A,eval-val,0
foldbench_monomer,7xp9_A,eval-val,0
foldbench_monomer,8ycm_A,eval-val,0
foldbench_monomer,7xq4_A,eval-val,0
foldbench_monomer,7xrx_A,eval-val,0
foldbench_monomer,7xjr_A,eval-val,0
foldbench_monomer,7xyr_A,eval-val,0
foldbench_monomer,7xz3_A,eval-val,0
foldbench_monomer,7y4h_A,eval-val,0
foldbench_monomer,7y54_A,eval-val,0
foldbench_monomer,7y5m_A,eval-val,1
foldbench_monomer,7y5r_A,eval-val,0
foldbench_monomer,7y8h_A,eval-val,0
foldbench_monomer,7y8i_A,eval-val,0
foldbench_monomer,7y5j_A,eval-val,0
foldbench_monomer,7yd4_A,eval-val,0
foldbench_monomer,7yhr_A,eval-val,0
foldbench_monomer,7ykm_A,eval-val,0
foldbench_monomer,7ylr_A,eval-val,0
foldbench_monomer,8gmy_A,eval-val,0
foldbench_monomer,7yug_A,eval-val,0
foldbench_monomer,7yyg_A,eval-val,0
foldbench_monomer,7z65_A,eval-val,0
foldbench_monomer,7znz_A,eval-val,0
foldbench_monomer,7zoi_A,eval-val,0
foldbench_monomer,7zs2_A,eval-val,0
foldbench_monomer,7zu3_A,eval-val,1
foldbench_monomer,7zv1_A,eval-val,1
foldbench_monomer,8adc_A,eval-val,0
foldbench_monomer,8add_A,eval-val,0
foldbench_monomer,8akh_A,eval-val,0
foldbench_monomer,8ak2_A,eval-val,0
foldbench_monomer,8arl_A,eval-val,0
foldbench_monomer,8q8i_A,eval-val,1
foldbench_monomer,8au6_A,eval-val,0
foldbench_monomer,8axj_A,eval-val,0
foldbench_monomer,8azb_A,eval-val,0
foldbench_monomer,8b2e_A,eval-val,0
foldbench_monomer,8b2g_A,eval-val,0
foldbench_monomer,8b2s_A,eval-val,0
foldbench_monomer,8b4u_A,eval-val,0
foldbench_monomer,8b5w_A,eval-val,0
foldbench_monomer,8b61_A,eval-val,0
foldbench_monomer,8b6a_A,eval-val,0
foldbench_monomer,8b6e_A,eval-val,0
foldbench_monomer,8baq_A,eval-val,0
foldbench_monomer,8bau_A,eval-val,0
foldbench_monomer,8bfy_A,eval-val,0
foldbench_monomer,8bgb_A,eval-val,0
foldbench_monomer,8bke_A,eval-val,1
foldbench_monomer,8bsb_A,eval-val,0
foldbench_monomer,8bux_A,eval-val,0
foldbench_monomer,8c4d_A,eval-val,0
foldbench_monomer,7xlz_A,eval-val,0
foldbench_monomer,8c4y_A,eval-val,0
foldbench_monomer,8cba_A,eval-val,0
foldbench_monomer,8ci9_A,eval-val,0
foldbench_monomer,8cih_A,eval-val,0
foldbench_monomer,8amo_A,eval-val,0
foldbench_monomer,8cpk_A,eval-val,0
foldbench_monomer,8cpn_A,eval-val,0
foldbench_monomer,8d2z_A,eval-val,0
foldbench_monomer,8daj_A,eval-val,0
foldbench_monomer,8dez_A,eval-val,0
foldbench_monomer,8dge_A,eval-val,0
foldbench_monomer,8dhj_A,eval-val,0
foldbench_monomer,8dmu_A,eval-val,0
foldbench_monomer,8dp9_A,eval-val,0
foldbench_monomer,8dqd_A,eval-val,0
foldbench_monomer,8dx0_A,eval-val,0
foldbench_monomer,8e0r_A,eval-val,0
foldbench_monomer,8e5h_A,eval-val,0
foldbench_monomer,8eb9_A,eval-val,0
foldbench_monomer,8ec3_A,eval-val,0
foldbench_monomer,8eo5_A,eval-val,0
