stem,residues,tokens,statements,mode,max_position,sequence_nll,structure_nll
8d2z_A,327,1598,645,shift1024,2621,3.6733226776123047,3.4439518451690674
8d2z_A,327,1598,645,fixedgap2,2241,3.687955379486084,3.6707167625427246
8d2z_A,327,1598,645,randgap2,2251,4.137576580047607,3.5433096885681152
8d2z_A,327,1598,645,fixedgap3,2885,4.38001823425293,3.4906363487243652
8d2z_A,327,1598,645,randgap3,2897,4.463607311248779,3.475219488143921
8d2z_A,327,1598,645,fixedgap5,4173,4.642975330352783,4.770253658294678
8d2z_A,327,1598,645,randgap5,4196,4.529740333557129,3.7197673320770264
8d2z_A,327,1598,645,gap2,1919,3.6811256408691406,3.5572211742401123
8d2z_A,327,1598,645,gap4,2556,4.464959144592285,3.553184986114502
8d2z_A,327,1598,645,gap8,3860,4.482070446014404,3.5226974487304688
8d2z_A,327,1598,645,jitter1,1607,3.808579206466675,5.0327253341674805
8d2z_A,327,1598,645,jitter4,1661,4.142746448516846,5.67385196685791
8d2z_A,327,1598,645,flat,2,10.364897727966309,8.411563873291016
8d2z_A,327,1598,645,rope_off,1597,9.306100845336914,8.100859642028809
